status,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,time/episodes,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/loss,train/dqn_loss,train/learning_rate,train/cql_loss
1.0,55311,11112,0.05,176,4,668.137884,144.0,54310,18.679624557495117,18.052215576171875,0.0001,0.627408504486084
1.0,55450,11140,0.05,177,4,555.199626,139.0,54449,13.954235076904297,13.39777946472168,0.0001,0.5564553737640381
0.0,55950,11240,0.05,178,4,204.780812,500.0,54949,15.978802680969238,15.061456680297852,0.0001,0.9173461198806763
0.0,56450,11340,0.05,179,4,637.681463,500.0,55449,11.749656677246094,11.141321182250977,0.0001,0.6083351969718933
0.0,56950,11441,0.05,180,4,358.203157,500.0,55949,13.849566459655762,13.305246353149414,0.0001,0.5443204641342163
1.0,57153,11482,0.05,181,4,693.224887,203.0,56152,20.043386459350586,19.430023193359375,0.0001,0.6133641004562378
1.0,57295,11510,0.05,182,4,700.408221,142.0,56294,10.752224922180176,10.155747413635254,0.0001,0.5964772701263428
1.0,57390,11530,0.05,183,4,396.8913,95.0,56389,13.20181655883789,12.729799270629883,0.0001,0.47201722860336304
1.0,57545,11561,0.05,184,4,774.534797,155.0,56544,14.434540748596191,13.693589210510254,0.0001,0.7409511804580688
1.0,57644,11581,0.05,185,4,685.519886,99.0,56643,12.849504470825195,12.056602478027344,0.0001,0.792902410030365
-1.0,57651,11582,0.05,186,4,-155.278961,7.0,56650,13.164607048034668,12.37942123413086,0.0001,0.7851858139038086
1.0,57742,11601,0.05,187,4,587.15919,91.0,56741,15.176545143127441,14.342883110046387,0.0001,0.8336624503135681
0.0,58242,11701,0.05,188,4,409.027671,500.0,57241,9.996353149414062,9.34803581237793,0.0001,0.6483173370361328
1.0,58530,11759,0.05,189,4,925.47575,288.0,57529,17.3691463470459,16.425273895263672,0.0001,0.9438720345497131
0.0,59030,11859,0.05,190,4,577.194023,500.0,58029,15.196788787841797,14.552886962890625,0.0001,0.6439021825790405
1.0,59156,11885,0.05,191,4,686.474348,126.0,58155,15.680374145507812,14.99660873413086,0.0001,0.6837649345397949
0.0,59656,11985,0.05,192,4,467.615166,500.0,58655,12.007965087890625,11.125473022460938,0.0001,0.8824922442436218
1.0,59758,12006,0.05,193,4,676.254399,102.0,58757,14.350476264953613,13.840604782104492,0.0001,0.5098713636398315
1.0,60240,12102,0.05,194,4,919.74908,482.0,59239,15.188299179077148,14.656526565551758,0.0001,0.5317730903625488
1.0,60275,12110,0.05,195,4,381.693637,35.0,59274,11.909967422485352,11.08930492401123,0.0001,0.8206629753112793
1.0,60402,12135,0.05,196,4,759.023234,127.0,59401,11.504304885864258,10.745526313781738,0.0001,0.7587782144546509
1.0,60491,12153,0.05,197,4,602.553123,89.0,59490,15.248336791992188,14.528144836425781,0.0001,0.7201924324035645
1.0,60599,12175,0.05,198,4,605.36093,108.0,59598,12.00311279296875,11.336542129516602,0.0001,0.6665704250335693
1.0,60694,12194,0.05,199,4,378.491377,95.0,59693,9.852557182312012,9.096986770629883,0.0001,0.7555704116821289
0.0,61194,12295,0.05,200,4,730.324704,500.0,60193,11.850630760192871,11.184885025024414,0.0001,0.6657456755638123
-1.0,61637,12384,0.05,201,4,348.826983,443.0,60636,12.349170684814453,11.464335441589355,0.0001,0.8848355412483215
-1.0,61766,12410,0.05,202,4,317.638847,129.0,60765,12.238718032836914,11.437296867370605,0.0001,0.8014215230941772
1.0,61837,12424,0.05,203,4,447.358807,71.0,60836,14.02149772644043,13.465299606323242,0.0001,0.5561984777450562
-1.0,61981,12453,0.05,204,4,-262.895546,144.0,60980,11.550446510314941,10.895421028137207,0.0001,0.6550253033638
1.0,62036,12464,0.05,205,4,435.810698,55.0,61035,10.556716918945312,9.83025074005127,0.0001,0.7264664173126221
1.0,62138,12485,0.05,206,4,558.431521,102.0,61137,10.453309059143066,9.899895668029785,0.0001,0.5534136295318604
-1.0,62146,12487,0.05,207,4,-205.38872,8.0,61145,11.627156257629395,10.799785614013672,0.0001,0.8273705244064331
-1.0,62216,12501,0.05,208,4,99.453681,70.0,61215,11.142293930053711,10.54118537902832,0.0001,0.6011086702346802
-1.0,62277,12514,0.05,209,4,-76.688277,61.0,61276,9.997550010681152,9.31245231628418,0.0001,0.6850975155830383
-1.0,62328,12524,0.05,210,4,74.027215,51.0,61327,13.948949813842773,13.18642807006836,0.0001,0.7625216245651245
1.0,62415,12542,0.05,211,4,454.133283,87.0,61414,10.19079875946045,9.648345947265625,0.0001,0.5424528121948242
-1.0,62537,12566,0.05,212,4,-185.116675,122.0,61536,9.502134323120117,8.986095428466797,0.0001,0.5160387754440308
-1.0,62611,12581,0.05,213,4,102.378074,74.0,61610,14.303534507751465,13.705001831054688,0.0001,0.5985330939292908
1.0,62715,12602,0.05,214,4,664.931316,104.0,61714,10.545234680175781,9.979047775268555,0.0001,0.5661866664886475
1.0,62841,12628,0.05,215,4,739.020543,126.0,61840,14.936494827270508,14.206010818481445,0.0001,0.7304843068122864
-1.0,62910,12642,0.05,216,4,34.98688,69.0,61909,11.19253158569336,10.311084747314453,0.0001,0.8814472556114197
-1.0,62961,12652,0.05,217,4,131.947831,51.0,61960,11.238641738891602,10.672825813293457,0.0001,0.5658157467842102
-1.0,63020,12664,0.05,218,4,55.6795,59.0,62019,15.19711685180664,14.691014289855957,0.0001,0.5061027407646179
1.0,63073,12675,0.05,219,4,456.993009,53.0,62072,13.223016738891602,12.560379028320312,0.0001,0.6626372337341309
1.0,63139,12688,0.05,220,4,515.031141,66.0,62138,8.918570518493652,8.396791458129883,0.0001,0.5217792391777039
