time/fps,rollout/exploration_rate,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_len_mean,status,train/loss,train/learning_rate,train/n_updates
4,0.05,468.649276,37386,7540,251,50.0,1.0,1.9788821935653687,0.0001,27385
4,0.05,275.40942,37424,7548,252,38.0,1.0,5.5676751136779785,0.0001,27423
4,0.05,-90.03412,37441,7552,253,17.0,-1.0,2.8030080795288086,0.0001,27440
4,0.05,-199.193534,37446,7553,254,5.0,-1.0,2.0785255432128906,0.0001,27445
4,0.05,-30.948101,37503,7565,255,57.0,-1.0,1.914475917816162,0.0001,27502
4,0.05,409.149483,37552,7575,256,49.0,1.0,2.918419361114502,0.0001,27551
4,0.05,-155.30008,37574,7579,257,22.0,-1.0,2.2294747829437256,0.0001,27573
4,0.05,865.323898,37703,7605,258,129.0,1.0,5.764606475830078,0.0001,27702
4,0.05,-193.952452,37713,7608,259,10.0,-1.0,8.133087158203125,0.0001,27712
4,0.05,863.641076,37865,7638,260,152.0,1.0,3.1299431324005127,0.0001,27864
4,0.05,-176.047586,37870,7639,261,5.0,-1.0,2.6137964725494385,0.0001,27869
4,0.05,298.334933,37894,7644,262,24.0,1.0,2.296623706817627,0.0001,27893
4,0.05,-200.0,37895,7645,263,1.0,-1.0,6.113004684448242,0.0001,27894
4,0.05,913.012886,38026,7671,264,131.0,1.0,2.617607831954956,0.0001,28025
4,0.05,592.217075,38150,7696,265,124.0,1.0,2.287350654602051,0.0001,28149
4,0.05,-96.991246,38273,7721,266,123.0,-1.0,2.591878890991211,0.0001,28272
4,0.05,13.853785,38330,7733,267,57.0,-1.0,2.528167247772217,0.0001,28329
4,0.05,641.058643,38413,7750,268,83.0,1.0,6.169295787811279,0.0001,28412
4,0.05,316.956937,38435,7754,269,22.0,1.0,2.056328058242798,0.0001,28434
4,0.05,636.380969,38537,7775,270,102.0,1.0,5.095864295959473,0.0001,28536
4,0.05,409.161509,38658,7799,271,121.0,-1.0,2.551054000854492,0.0001,28657
4,0.05,-212.107994,38662,7800,272,4.0,-1.0,5.466867446899414,0.0001,28661
4,0.05,516.953448,38745,7817,273,83.0,1.0,5.31367301940918,0.0001,28744
4,0.05,543.810776,38808,7830,274,63.0,1.0,8.294244766235352,0.0001,28807
4,0.05,386.005129,38874,7844,275,66.0,1.0,7.368246078491211,0.0001,28873
4,0.05,553.104965,38975,7864,276,101.0,1.0,3.122375249862671,0.0001,28974
4,0.05,502.269992,39054,7880,277,79.0,1.0,2.3396782875061035,0.0001,29053
4,0.05,97.055348,39115,7892,278,61.0,-1.0,2.4422378540039062,0.0001,29114
4,0.05,587.447261,39204,7910,279,89.0,1.0,2.6581010818481445,0.0001,29203
4,0.05,594.168399,39272,7924,280,68.0,1.0,6.415722846984863,0.0001,29271
4,0.05,766.478222,39411,7952,281,139.0,1.0,2.6249990463256836,0.0001,29410
4,0.05,689.023841,39566,7984,282,155.0,1.0,2.639251232147217,0.0001,29565
4,0.05,370.595123,39629,7996,283,63.0,1.0,5.090087890625,0.0001,29628
4,0.05,590.45693,39757,8022,284,128.0,1.0,2.625957489013672,0.0001,29756
4,0.05,760.092492,39979,8067,285,222.0,1.0,5.000446796417236,0.0001,29978
4,0.05,400.808438,40016,8075,286,37.0,1.0,2.768974781036377,0.0001,30015
4,0.05,114.624106,40062,8084,287,46.0,-1.0,2.4297187328338623,0.0001,30061
4,0.05,51.074449,40116,8095,288,54.0,-1.0,2.189112663269043,0.0001,30115
4,0.05,636.872707,40223,8117,289,107.0,1.0,2.896186351776123,0.0001,30222
4,0.05,-109.475262,40313,8135,290,90.0,-1.0,2.8813633918762207,0.0001,30312
4,0.05,751.768435,40435,8160,291,122.0,1.0,5.135201454162598,0.0001,30434
4,0.05,-56.077614,40503,8173,292,68.0,-1.0,2.461447238922119,0.0001,30502
4,0.05,483.861953,40609,8195,293,106.0,1.0,9.137197494506836,0.0001,30608
4,0.05,-85.542794,40671,8207,294,62.0,-1.0,4.042011260986328,0.0001,30670
4,0.05,199.574716,40773,8228,295,102.0,-1.0,3.7960872650146484,0.0001,30772
4,0.05,859.197093,40928,8259,296,155.0,1.0,6.047918319702148,0.0001,30927
4,0.05,596.092569,40996,8273,297,68.0,1.0,2.712034225463867,0.0001,30995
4,0.05,856.63829,41131,8300,298,135.0,1.0,5.992897033691406,0.0001,31130
4,0.05,-230.731799,41137,8302,299,6.0,-1.0,5.570539474487305,0.0001,31136
4,0.05,341.51394,41169,8309,300,32.0,1.0,2.592789888381958,0.0001,31168
4,0.05,471.809606,41213,8318,301,44.0,1.0,5.688226222991943,0.0001,31212
4,0.05,768.575322,41687,8413,302,474.0,1.0,9.205280303955078,0.0001,31686
4,0.05,-228.695623,41705,8417,303,18.0,-1.0,3.391181230545044,0.0001,31704
4,0.05,149.786396,41797,8435,304,92.0,-1.0,2.6007821559906006,0.0001,31796
4,0.05,-210.407481,41804,8437,305,7.0,-1.0,3.075920581817627,0.0001,31803
4,0.05,178.26479,41859,8448,306,55.0,-1.0,3.3090133666992188,0.0001,31858
4,0.05,-133.579924,41876,8452,307,17.0,-1.0,3.3345813751220703,0.0001,31875
4,0.05,-198.97579,41904,8457,308,28.0,-1.0,7.2994818687438965,0.0001,31903
4,0.05,558.258853,42017,8480,309,113.0,1.0,2.7629313468933105,0.0001,32016
4,0.05,71.846947,42113,8500,310,96.0,-1.0,2.626748561859131,0.0001,32112
4,0.05,661.238123,42219,8521,311,106.0,1.0,6.3755621910095215,0.0001,32218
4,0.05,609.886372,42357,8549,312,138.0,1.0,6.355382919311523,0.0001,32356
4,0.05,-216.999056,42395,8557,313,38.0,-1.0,3.076427698135376,0.0001,32394
4,0.05,359.500378,42451,8568,314,56.0,1.0,4.4398040771484375,0.0001,32450
4,0.05,142.042879,42568,8592,315,117.0,-1.0,2.7106313705444336,0.0001,32567
4,0.05,708.88925,42788,8636,316,220.0,1.0,2.5855064392089844,0.0001,32787
4,0.05,547.701832,42877,8654,317,89.0,1.0,2.341175079345703,0.0001,32876
4,0.05,248.979803,43026,8684,318,149.0,-1.0,6.21412467956543,0.0001,33025
4,0.05,593.404061,43526,8785,319,500.0,0.0,6.353768825531006,0.0001,33525
4,0.05,772.171848,43640,8808,320,114.0,1.0,7.028830051422119,0.0001,33639
4,0.05,-61.151909,43705,8821,321,65.0,-1.0,4.415083885192871,0.0001,33704
4,0.05,817.547211,43822,8845,322,117.0,1.0,7.045321464538574,0.0001,33821
4,0.05,495.636999,43920,8864,323,98.0,1.0,2.4123992919921875,0.0001,33919
4,0.05,-205.278829,43925,8866,324,5.0,-1.0,6.965566635131836,0.0001,33924
